iter	Passed	Remaining
0	39	39112
1	73	36683
2	102	34122
3	138	34598
4	172	34301
5	208	34526
6	238	33813
7	266	33058
8	299	32992
9	331	32860
10	361	32544
11	396	32643
12	435	33098
13	478	33730
14	511	33615
15	542	33338
16	570	33006
17	601	32837
18	631	32590
19	670	32850
20	705	32910
21	735	32700
22	765	32524
23	796	32385
24	827	32280
25	859	32195
26	898	32364
27	939	32622
28	972	32560
29	1005	32502
30	1037	32444
31	1070	32387
32	1105	32385
33	1141	32427
34	1175	32416
35	1222	32725
36	1262	32861
37	1300	32918
38	1339	33018
39	1383	33209
40	1421	33252
41	1460	33314
42	1494	33266
43	1533	33322
44	1572	33366
45	1602	33239
46	1633	33129
47	1672	33175
48	1728	33539
49	1780	33833
50	1834	34135
51	1888	34435
52	1935	34589
53	1981	34708
54	2023	34759
55	2055	34653
56	2086	34517
57	2117	34398
58	2146	34229
59	2176	34091
60	2215	34110
61	2250	34048
62	2287	34025
63	2320	33942
64	2352	33842
65	2392	33852
66	2440	33982
67	2474	33919
68	2506	33813
69	2539	33734
70	2572	33655
71	2603	33553
72	2644	33582
73	2686	33621
74	2720	33552
75	2755	33496
76	2789	33438
77	2831	33466
78	2872	33484
79	2910	33469
80	2945	33421
81	2980	33362
82	3014	33299
83	3048	33242
84	3082	33179
85	3122	33186
86	3157	33130
87	3189	33054
88	3224	33010
89	3258	32948
90	3295	32919
91	3334	32907
92	3372	32890
93	3407	32841
94	3441	32783
95	3477	32748
96	3514	32717
97	3547	32650
98	3580	32590
99	3613	32523
100	3646	32453
101	3680	32402
102	3710	32317
103	3752	32327
104	3785	32264
105	3818	32206
106	3852	32149
107	3887	32106
108	3921	32057
109	3957	32023
110	3997	32012
111	4028	31943
112	4060	31876
113	4099	31862
114	4129	31780
115	4160	31702
116	4205	31738
117	4242	31707
118	4274	31642
119	4308	31596
120	4345	31565
121	4385	31560
122	4416	31492
123	4448	31429
124	4483	31382
125	4519	31348
126	4554	31308
127	4584	31233
128	4627	31242
129	4660	31190
130	4693	31134
131	4724	31068
132	4755	31002
133	4787	30938
134	4821	30892
135	4858	30864
136	4900	30867
137	4933	30817
138	4967	30767
139	5001	30724
140	5032	30659
141	5068	30624
142	5108	30615
143	5140	30557
144	5175	30516
145	5210	30477
146	5247	30450
147	5282	30410
148	5320	30389
149	5354	30339
150	5392	30320
151	5429	30292
152	5463	30244
153	5500	30217
154	5540	30202
155	5571	30142
156	5602	30081
157	5634	30027
158	5665	29964
159	5694	29896
160	5736	29895
161	5770	29848
162	5803	29802
163	5836	29754
164	5876	29740
165	5910	29695
166	5940	29632
167	5982	29629
168	6017	29590
169	6050	29538
170	6079	29473
171	6114	29437
172	6149	29394
173	6189	29381
174	6224	29342
175	6254	29282
176	6286	29228
177	6313	29154
178	6345	29104
179	6391	29116
180	6425	29074
181	6460	29036
182	6493	28988
183	6523	28932
184	6552	28864
185	6581	28800
186	6623	28797
187	6657	28753
188	6692	28718
189	6727	28681
190	6763	28645
191	6796	28602
192	6827	28549
193	6868	28537
194	6902	28496
195	6935	28451
196	6970	28413
197	7007	28383
198	7047	28365
199	7081	28326
200	7115	28284
201	7152	28255
202	7184	28207
203	7216	28157
204	7249	28113
205	7293	28111
206	7330	28082
207	7362	28033
208	7398	27999
209	7430	27954
210	7464	27913
211	7500	27880
212	7550	27896
213	7592	27887
214	7625	27843
215	7664	27819
216	7697	27776
217	7741	27768
218	7774	27726
219	7807	27682
220	7849	27668
221	7886	27636
222	7920	27596
223	7957	27566
224	8000	27558
225	8039	27534
226	8076	27503
227	8108	27453
228	8139	27404
229	8177	27375
230	8219	27361
231	8252	27318
232	8287	27282
233	8319	27235
234	8361	27218
235	8415	27244
236	8467	27261
237	8513	27257
238	8560	27258
239	8620	27298
240	8669	27303
241	8706	27270
242	8743	27239
243	8775	27188
244	8804	27133
245	8844	27109
246	8884	27086
247	8917	27041
248	8948	26988
249	8989	26968
250	9023	26927
251	9060	26892
252	9099	26866
253	9132	26821
254	9163	26773
255	9195	26723
256	9231	26688
257	9268	26654
258	9311	26640
259	9346	26601
260	9379	26556
261	9409	26505
262	9446	26471
263	9489	26456
264	9532	26439
265	9568	26402
266	9602	26362
267	9637	26324
268	9672	26284
269	9711	26257
270	9752	26235
271	9785	26191
272	9818	26146
273	9854	26109
274	9887	26066
275	9930	26050
276	9973	26033
277	10008	25994
278	10053	25981
279	10088	25943
280	10122	25899
281	10164	25881
282	10202	25848
283	10236	25808
284	10269	25763
285	10310	25740
286	10343	25696
287	10380	25663
288	10421	25640
289	10455	25598
290	10486	25550
291	10519	25506
292	10551	25460
293	10585	25419
294	10635	25418
295	10671	25381
296	10704	25336
297	10738	25296
298	10771	25252
299	10814	25233
300	10882	25272
301	10914	25225
302	10947	25183
303	10981	25141
304	11021	25115
305	11065	25096
306	11100	25058
307	11132	25011
308	11165	24969
309	11197	24924
310	11236	24894
311	11277	24868
312	11311	24826
313	11342	24780
314	11375	24737
315	11409	24696
316	11446	24663
317	11494	24652
318	11530	24614
